9,23.6
10,16.8
11,12.3
12,6.7
1,3.6
2,4.5
3,8.2
4,14.9
5,19.8
6,22.6
7,27.4
8,26.8
9,25.3
10,18.3
11,12.7
12,7.2
1,4.5
2,5.9
3,8.2
4,14.1
5,18.4
6,20.9
7,25.1
8,28.1
9,24.5
10,16.7
11,11.3
12,7
1,3.2
2,4.8
3,7.6
4,13.9
5,18.4
6,21.8
7,25.7
8,26.6
9,21.4
10,16.3
11,12.1
12,8.1
1,5.4
2,4.2
3,7.6
4,15.3
5,18.9
6,21.5
7,25.5
8,27.8
9,22.3
10,15.9
11,11.1
12,7.5
1,4.4
2,4.7
3,6.9
4,11.1
5,17.2
6,21.6
7,24.2
8,26.7
9,22.2
10,16.9
11,12.7
12,7
1,4.6
2,7.2
3,9.6
4,13.6
5,17.9
6,20.1
7,24.4
8,26.9
9,23.2
10,18.9
11,12.9
12,6.6
1,4.4
2,4.9
3,9.5
4,14.5
5,20
6,23
7,26.3
8,28
9,22.6
10,16.9
11,12.1
12,6.7
