1,1.6
2,3.6
3,6.7
4,11.7
5,16.7
6,20.1
7,26
8,26.1
9,22.6
10,16
11,10.4
12,3.9
1,2.8
2,3.7
3,8.3
4,13.4
5,16.2
6,19.8
7,23.6
8,25
9,22.7
10,16.4
11,11.4
12,5.3
1,4.1
2,2.6
3,6.6
4,12.6
5,16.8
6,20.3
7,26.1
8,25.7
9,21.4
10,16.4
11,12
12,5.2
1,4
2,3.5
3,6.2
4,13.8
5,16.4
6,18.8
7,24.3
8,25.3
9,21.3
10,15.4
11,9.3
12,5
1,0.6
2,7
3,6.6
4,13.3
5,16.8
6,21.7
7,25
8,27.3
9,23.4
10,16.8
11,10.8
12,4
1,1.7
2,3
3,7.9
4,12
5,16.8
6,20.4
7,24
8,27.2
9,23.4
10,16.8
11,12
12,5.6
1,2.7
2,4.5
3,5
4,14.7
5,16.9
6,19.4
7,26.1
8,26.2
9,21.8
10,15.4
11,9.9
12,5.2
1,2.9
2,2.4
3,6.2
4,11.9
5,16.1
6,20.1
7,23.2
8,25.7
9,22.9
10,16.3
11,11.4
12,6.8
1,3.1
2,4.6
3,6.3
4,11.1
5,16.3
6,19
7,24.6
8,26.3
9,23.2
10,15
11,9.8
12,4.1
1,2.7
2,2.1
3,6.3
4,13.5
5,17.1
6,20.5
7,26
8,26.6
9,21.2
10,16.7
11,11.2
12,5.5
1,3.6
2,3.3
3,6.9
4,12.5
5,17.8
6,20.3
7,23.4
8,24.1
9,23.9
10,16.7
11,11.7
12,5.4
1,2.6
2,2.9
3,7.1
4,12.6
5,15.9
6,20.6
7,25.9
8,27.1
9,20.5
10,16.5
11,11
12,8.6
1,3.8
2,5.4
3,8.8
4,14
5,17.7
6,21.4
7,26.3
8,26.8
9,21.5
10,16.7
11,10.3
12,5.2
1,2.9
2,2.5
3,7.9
4,12.4
5,16.3
6,20.4
7,21.8
8,26.4
9,22.5
10,16.3
11,11.5
12,6.9
1,5.9
2,4.3
3,6.9
4,12.3
5,18
6,19.8
7,25.7
8,26.7
9,21.8
10,16.5
11,10.9
12,6
1,3.2
2,3.6
3,5.8
4,12.3
5,18.1
6,21.9
7,26.6
8,27.5
9,23.1
10,16.8
11,11.2
12,6.2
1,2.5
2,4
3,6.1
4,11.5
5,17.8
6,22
7,23.9
8,26.1
9,21.6
10,14.6
11,10.8
12,5.9
1,3.7
2,4.8
3,7.1
4,12.5
5,16.7
6,21.5
7,24.3
8,24.8
9,20.8
10,17.1
11,10.7
12,5.5
1,2
2,2.5
3,6.1
4,12
5,16.4
6,21.4
7,24.9
8,26.5
9,24.2
10,16
11,11.2
12,6.2
1,4.6
2,5.7
3,8.1
4,12.8
5,17.6
6,19.6
7,26.3
8,28.2
9,22.7
10,16.3
11,11.2
12,5.2
1,2.7
2,3.4
3,8.8
4,13.2
5,18.7
6,20.8
7,25
8,26
9,22.4
10,16.7
11,10.8
12,5.9
1,2.4
2,4.1
3,7.4
4,12.8
5,17
6,20.7
7,26.5
8,25.8
9,23.7
10,17.9
11,12.3
12,5.4
1,2.7
2,3.7
3,8.2
4,13.1
5,17.7
6,22.1
7,26.9
8,24.9
9,21.7
10,17.8
11,12.3
12,6.2
1,4.8
2,5
3,8.2
4,12.7
5,17.6
6,20.8
7,23.7
8,25.4
9,20.6
10,17.3
11,11.7
12,6.9
1,2.9
2,2.6
3,10.3
4,13.6
5,17.3
6,22.2
7,27.5
8,27
9,24.9
10,16.4
11,10.1
12,5.4
1,2.4
2,4
3,6.8
4,11.8
5,17.8
6,21.5
7,25.1
8,27.4
9,24.4
10,17.2
11,10.8
12,5.7
1,3
2,3.2
3,5.6
4,10.6
5,17.7
6,22.3
7,25.6
8,27.5
9,23.2
10,16.3
11,10.9
12,4.3
1,1.1
2,1.6
3,6.6
4,13.5
5,15.6
6,20.4
7,22
8,26.7
9,22.4
10,16.8
11,11.3
12,4.8
1,3.5
2,4.2
3,6.2
4,14.3
5,16.9
6,23.3
7,26.2
8,26.7
9,23.1
10,17.3
11,12.4
12,4.7
1,3.4
2,2.7
3,6.8
4,13.1
5,16.9
6,19.2
7,25.7
8,28
9,22.9
10,15.6
11,10.3
12,4.1
1,4
2,5.1
3,6.5
4,14.2
5,18.1
6,21.6
7,26
8,25.4
9,23.8
10,17.4
11,11.9
12,7.9
1,5.4
2,6.5
3,6.7
4,12.1
5,18.4
6,19.4
7,25.3
8,26.6
9,22.4
10,16.1
11,10
12,6
1,5
2,4.7
3,7.7
4,13.9
5,19.2
6,21.8
7,26.5
8,26.2
9,23.8
10,15.8
11,11.1
12,5.4
1,3.3
2,4.5
3,8.8
4,13.3
5,18
6,21.2
7,24.3
8,26.7
9,20.7
10,17.3
11,11.4
12,7.3
1,4.3
2,2.6
3,7.4
4,13.3
5,18.1
6,21.3
7,24.3
8,26.8
9,22.7
10,17.3
11,12
12,5.3
1,3.3
2,4.2
3,9.4
4,12.7
5,17.8
6,20.6
7,24.7
8,25
9,22.2
10,17.2
11,10.4
12,7.6
1,4.3
2,5.6
3,8.4
4,14.9
5,17.6
6,18.3
7,22.3
8,27
9,24.6
10,15.5
11,11.7
12,7.1
1,3.8
2,6.2
3,8.7
4,13.6
5,18.2
6,22.7
7,27.6
8,26.3
9,22.3
10,17.6
11,11
12,7.9
1,4.2
2,4.3
3,8.6
4,13.1
5,17.6
6,22.3
7,24.2
8,25.4
9,22.7
10,17.3
11,11.8
12,5
1,5.7
2,4.3
3,6.8
4,14.3
5,17.1
6,19.8
7,24.4
8,27.3
9,20.8
10,17.2
11,12.9
12,8
1,5
2,6
3,8.4
4,13.9
5,18
6,22
7,24.9
8,25.8
9,23.2
10,16
11,11.1
12,7.9
1,3.7
2,7.3
3,8.9
4,15.3
5,18.5
6,20.4
7,26.1
8,26.7
9,24.1
10,17.6
11,12.3
12,7
1,5
2,6.6
3,9.5
4,12.8
5,17.8
6,21.5
7,25.8
8,26.4
